"","X","Package","LibPath","Version","Priority","Built"
"58",58,"Matrix","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.2-8","recommended","3.3.3"
"59",59,"methods","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"60",60,"mgcv","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.8-17","recommended","3.3.3"
"61",61,"mime","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.5",NA,"3.3.0"
"62",62,"mnormt","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.5-5",NA,"3.3.0"
"63",63,"modelr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1.1",NA,"3.3.2"
"64",64,"munsell","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.4.3",NA,"3.3.0"
"65",65,"nlme","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.1-131","recommended","3.3.3"
"66",66,"nnet","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","7.3-12","recommended","3.3.3"
"67",67,"parallel","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"68",68,"pkgconfig","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.0.1",NA,"3.3.2"
"69",69,"plogr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1-1",NA,"3.3.0"
"70",70,"plyr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.8.4",NA,"3.3.0"
"71",71,"praise","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.0",NA,"3.3.0"
"72",72,"psych","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.7.8",NA,"3.3.3"
"73",73,"purrr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.3",NA,"3.3.2"
"74",74,"R6","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.2.2",NA,"3.3.2"
"75",75,"RColorBrewer","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1-2",NA,"3.3.0"
"76",76,"Rcpp","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.12.13",NA,"3.3.2"
"77",77,"readr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.1",NA,"3.3.2"
"78",78,"readxl","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.0",NA,"3.3.2"
"79",79,"rematch","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.1",NA,"3.3.0"
"80",80,"rematch2","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.0.1",NA,"3.3.2"
"81",81,"reshape2","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.4.2",NA,"3.3.0"
"82",82,"rlang","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1.2",NA,"3.3.2"
"83",83,"rmarkdown","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.8",NA,"3.3.2"
"84",84,"rpart","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","4.1-10","recommended","3.3.3"
"85",85,"rprojroot","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3-2",NA,"3.3.2"
"86",86,"rstudioapi","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.7",NA,"3.3.2"
